scenario_id,scenario_title,distal_type,event_A,event_B,event_C,event_D,outcome_negative,outcome_positive,image,attention_correct,is_attention_check
car_accident,Car Accident,natural,"During the winter, temperatures were below zero on a country road that was regularly used by passing cars.","During the night, a severe storm wetted the road.","As temperatures remained below freezing, the water on the road froze and formed icy patches.","Later, a car came round a bend on this road, skidded on the icy patches, and rolled over.","The car rolled over and collided with a tree, resulting in substantial damage. The driver sustained injuries from the accident and had to be taken to hospital.",A dashcam video from the skidding went viral and jumpstarted the driver’s successful career as an influencer.,images/car_accident.png,,is_attention_check = 0
car_accident,Car Accident,non_deliberate,"During the winter, temperatures were below zero on a country road that was regularly used by passing cars.","During the night, a man flooded the road without thinking about the consequences of the low temperatures.","As temperatures remained below freezing, the water on the road froze and formed icy patches.","Later, a car came round a bend on this road, skidded on the icy patches, and rolled over.","The car rolled over and collided with a tree, resulting in substantial damage. The driver sustained injuries from the accident and had to be taken to hospital.",A dashcam video from the skidding went viral and jumpstarted the driver’s successful career as an influencer.,images/car_accident.png,,is_attention_check = 0
car_accident,Car Accident,deliberate,"During the winter, temperatures were below zero on a country road that was regularly used by passing cars.","During the night, a man deliberately sprayed the road with water because he wanted to cause an accident.","As temperatures remained below freezing, the water on the road froze and formed icy patches.","Later, a car came round a bend on this road, skidded on the icy patches, and rolled over.","The car rolled over and collided with a tree, resulting in substantial damage. The driver sustained injuries from the accident and had to be taken to hospital.",A dashcam video from the skidding went viral and jumpstarted the driver’s successful career as an influencer.,images/car_accident.png,,is_attention_check = 0
memory_test,Cognitive Memory Test,natural,A clinical research team was preparing memory tests for participants in a long-term cognitive study.,A sudden gust of wind entered through an open window and knocked over the stack of test folders.,The folder order no longer matched the participant list.,"During the session, two participants were handed the wrong tests.","One participant received exactly the wrong test, invalidating all previously collected data for that participant.","One participant received the wrong test, but in this case the mix-up did not affect the research, and the participant personally benefited from the alternative test version.",images/memory_test.png,,is_attention_check = 0
memory_test,Cognitive Memory Test,non_deliberate,A clinical research team was preparing memory tests for participants in a long-term cognitive study.,"A research assistant was in a hurry, opened the cabinet and accidentally shuffled two test folders while reaching for supplies.",The folder order no longer matched the participant list.,"During the session, two participants were handed the wrong tests.","One participant received exactly the wrong test, invalidating all previously collected data for that participant.","One participant received the wrong test, but in this case the mix-up did not affect the research, and the participant personally benefited from the alternative test version.",images/memory_test.png,,is_attention_check = 0
memory_test,Cognitive Memory Test,deliberate,A clinical research team was preparing memory tests for participants in a long-term cognitive study.,A researcher intentionally swapped two participants’ folders out of spite to cause trouble.,The folder order no longer matched the participant list.,"During the session, two participants were handed the wrong tests.","One participant received exactly the wrong test, invalidating all previously collected data for that participant.","One participant received the wrong test, but in this case the mix-up did not affect the research, and the participant personally benefited from the alternative test version.",images/memory_test.png,,is_attention_check = 0
theater_interruption,Theater Performance,natural,The stage lighting system had been running at full power all evening.,Heat buildup gradually accumulated in the equipment room due to unusually warm outside temperatures.,The lighting wires overheated.,The lights suddenly shut off.,"The performance was interrupted mid-scene, and a panic broke out among some audience members.","The sudden blackout occurred mid-scene, but the audience believed it was part of the production and reacted enthusiastically.",images/theater_interruption.png,,is_attention_check = 0
theater_interruption,Theater Performance,non_deliberate,The stage lighting system had been running at full power all evening.,A staff member left the door to the equipment room closed without realizing the ventilation system was partially blocked.,The lighting wires overheated.,The lights suddenly shut off.,"The performance was interrupted mid-scene, and a panic broke out among some audience members.","The sudden blackout occurred mid-scene, but the audience believed it was part of the production and reacted enthusiastically.",images/theater_interruption.png,,is_attention_check = 0
theater_interruption,Theater Performance,deliberate,The stage lighting system had been running at full power all evening.,A backstage technician intentionally blocked the ventilation to sabotage the performance.,The lighting wires overheated.,The lights suddenly shut off.,"The performance was interrupted mid-scene, and a panic broke out among some audience members.","The sudden blackout occurred mid-scene, but the audience believed it was part of the production and reacted enthusiastically.",images/theater_interruption.png,,is_attention_check = 0
metro_escalator,Metro Escalator,natural,The escalator had been running continuously during morning rush hour.,"Dust buildup from construction work outside drifted into the station overnight, settling inside the escalator housing.",The foreign object interfered with the escalator’s safety sensors.,The sensors triggered an automatic shutdown.,"The shutdown caused a significant bottleneck, making people late during peak hours.","Maintenance inspected the escalator and detected a worn brake component, preventing a future malfunction.",images/metro_escalator.png,,is_attention_check = 0
